,parameter,best_value,worst_value,metric_spread,metric_mean,metric_std
0,strategy,HRP,HRP,0,0.6496567222383484,0
1,covariance_method,sample,ewma_ledoit_wolf,0.07343116730833776,0.6496567222383484,0.03180763753553545
2,rebalance_mode,calendar,threshold,0.008727342010112715,0.6518385577408765,0.004363671005056358
3,threshold,0.1,0.05,0.03910714955811301,0.6496567222383484,0.014447817219729635
4,transaction_cost_bps,10.0,10.0,0,0.6496567222383484,0
5,slippage_bps,5.0,5.0,0,0.6496567222383484,0
6,vol_targeting_enabled,True,False,0.3040950002716042,0.6496567222383485,0.1520475001358021
7,target_vol,0.1,,0.3040950002716042,0.6496567222383485,0.1520475001358021
8,defensive_asset,LIQUIDBEES.NS,,0.3040950002716042,0.6496567222383485,0.1520475001358021
