,experiment_name,strategy,covariance_method,rebalance_mode,threshold,transaction_cost_bps,slippage_bps,vol_targeting_enabled,target_vol,defensive_asset,cagr,sharpe,sortino,volatility,max_drawdown,calmar,final_value,total_turnover,average_turnover,total_transaction_cost,number_of_rebalances,status,error
0,dashboard_sensitivity_study,HRP,sample,threshold,0.03,10,5,true,0.1,LIQUIDBEES.NS,0.11024922913022328,1.091884365913257,1.305868488135776,0.08045167101299112,-0.12039458850975526,0.9157324302934934,2904267.15352629,7.161788700270937,0.1085119500041051,23096.605504123956,66,success,
1,dashboard_sensitivity_study,HERC,sample,threshold,0.05,10,5,true,0.1,LIQUIDBEES.NS,0.12599995328070634,1.2710949228253494,1.53759985918684,0.0801764996145183,-0.14297979537108585,0.8812430662226751,3352780.138849402,14.050073962687604,0.17345770324305684,50946.753036890295,81,success,
2,dashboard_sensitivity_study,HRP,sample,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.10830855625481006,1.0770904648519366,1.2841127828973211,0.07989054239667549,-0.12558249607292138,0.862449462637843,2852928.4686065316,11.3557207488713,0.09012476784818493,37814.89385626774,126,success,
3,dashboard_sensitivity_study,HRP,sample,threshold,0.1,10,5,true,0.1,LIQUIDBEES.NS,0.10571891961093449,1.0423203390084497,1.2468956324838119,0.08034503352947601,-0.1230812986694585,0.8589356852241898,2785697.0526684793,2.288555908890668,0.22885559088906682,6743.91493688631,10,success,
4,dashboard_sensitivity_study,HERC,sample,threshold,0.03,10,5,true,0.1,LIQUIDBEES.NS,0.12209715780515618,1.2260046588105704,1.4858007336848564,0.08030014241386488,-0.1423704347412904,0.8576019173294372,3236180.7392542036,15.77694679927636,0.13600816206272723,54337.6824764421,116,success,
5,dashboard_sensitivity_study,HERC,sample,threshold,0.1,10,5,true,0.1,LIQUIDBEES.NS,0.12263842334963937,1.2285113994628998,1.4919442377402508,0.08054462835127447,-0.14623516766416755,0.8386383748079077,3252129.9621310267,10.017582903312025,0.25043957258280064,35399.32375634898,40,success,
6,dashboard_sensitivity_study,HRP,sample,threshold,0.05,10,5,true,0.1,LIQUIDBEES.NS,0.10466158312765561,1.0336220237052058,1.2422290585722509,0.08007454574711885,-0.12536204243026716,0.8348745848319581,2758660.1131006004,3.836318149788983,0.15345272599155932,11091.506017269661,25,success,
7,dashboard_sensitivity_study,HERC,sample,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.12043339688161558,1.2083232652269569,1.468906601349655,0.08024283135822505,-0.14564517544531597,0.8268958893652717,3187596.1693172525,16.315493614827666,0.12948804456212434,54801.00927074297,126,success,
8,dashboard_sensitivity_study,HERC,sample,threshold,0.1,10,5,false,,,0.1453329745983991,1.1052519214640164,1.2688917360020568,0.1102108117156495,-0.17686933451414322,0.8216968475492153,3928703.8764721625,10.017582903312025,0.25043957258280064,35399.32375634898,40,success,
9,dashboard_sensitivity_study,HRP,ewma_ledoit_wolf,calendar,,10,5,true,0.1,LIQUIDBEES.NS,0.1068717851913148,1.0071901680813427,1.1970271528101688,0.0845242552671191,-0.13115096134660398,0.8148761098965603,2815448.9041722454,11.854361286555521,0.09408223243298033,39471.387730670234,126,success,
