Srno.,rebalance_date,rebalance_reason,turnover,transaction_cost,portfolio_value_before_cost,portfolio_value_after_cost,max_weight_drift
0,2021-01-04T00:00:00.000,initial,0.706871643,1060.307465,1000000,998939.6925,0.533906881
1,2021-02-01T00:00:00.000,calendar,0.037350367,54.58095769,974215.4761,974160.8952,0.026274342
2,2021-03-01T00:00:00.000,calendar,0.086952494,123.4211144,946272.3745,946148.9534,0.0394981
3,2021-03-18T00:00:00.000,threshold,0.132453832,184.6379499,929319.7832,929135.1453,0.104086496
4,2021-03-22T00:00:00.000,threshold,0.101953657,142.7920969,933705.902,933563.1099,0.073301035
5,2021-03-30T00:00:00.000,threshold,0.11266896,155.292407,918871.2767,918715.9843,0.05787161
6,2021-04-01T00:00:00.000,calendar,0.025105716,35.04148452,930504.8161,930469.7747,0.009819622
7,2021-04-08T00:00:00.000,threshold,0.136637679,194.715346,950032.464,949837.7487,0.09762799
8,2021-04-13T00:00:00.000,threshold,0.131469713,185.8769836,942559.2085,942373.3315,0.056868498
9,2021-04-15T00:00:00.000,threshold,0.135699209,193.1078318,948705.2721,948512.1642,0.10295669
10,2021-04-16T00:00:00.000,threshold,0.182548868,262.5717286,958909.3635,958646.7918,0.12547236
11,2021-04-19T00:00:00.000,threshold,0.081751206,117.8330328,960907.6033,960789.7703,0.064784415
12,2021-04-22T00:00:00.000,threshold,0.07280617,104.9983817,961442.1574,961337.159,0.066666844
13,2021-05-03T00:00:00.000,calendar_or_threshold,0.05870584,84.68500294,961687.4284,961602.7434,0.054656003
14,2021-05-05T00:00:00.000,threshold,0.141559273,203.3427851,957633.1769,957429.8341,0.094778797
15,2021-05-10T00:00:00.000,threshold,0.102300664,149.8617117,976609.5734,976459.7117,0.092861648
16,2021-05-11T00:00:00.000,threshold,0.118493827,173.2210433,974571.4088,974398.1878,0.060530789
17,2021-05-12T00:00:00.000,threshold,0.068540508,99.64264812,969184.9919,969085.3492,0.056507647
18,2021-05-17T00:00:00.000,threshold,0.077867531,113.8643101,974854.8432,974740.9789,0.065693638
19,2021-05-18T00:00:00.000,threshold,0.110749416,163.0212462,981321.9271,981158.9058,0.066106832
20,2021-05-21T00:00:00.000,threshold,0.080019292,117.9787963,982919.609,982801.6302,0.068424134
21,2021-05-27T00:00:00.000,threshold,0.089989018,133.0212889,985463.1279,985330.1066,0.075086967
22,2021-06-01T00:00:00.000,calendar,0.10775394,162.939422,1008095.682,1007932.742,0.025688373
23,2021-06-02T00:00:00.000,threshold,0.125203482,189.1778579,1007308.824,1007119.646,0.051763438
24,2021-06-18T00:00:00.000,threshold,0.130877507,196.4828452,1000848.551,1000652.068,0.055253731
25,2021-07-01T00:00:00.000,calendar,0.060282254,89.7758331,992838.7165,992748.9407,0.022766104
26,2021-08-02T00:00:00.000,calendar,0.087014067,131.0711841,1004214.522,1004083.451,0.036428067
27,2021-09-01T00:00:00.000,calendar_or_threshold,0.082079568,127.0639908,1032039.144,1031912.08,0.05030258
28,2021-10-01T00:00:00.000,calendar,0.076589599,120.456907,1048505.355,1048384.898,0.024415293
29,2021-11-01T00:00:00.000,calendar,0.078987853,125.5995331,1060074.667,1059949.067,0.024701183
30,2021-11-17T00:00:00.000,threshold,0.114878203,185.6060088,1077117.642,1076932.036,0.108012514
31,2021-11-18T00:00:00.000,threshold,0.085550992,138.0798351,1076004.156,1075866.076,0.081063562
32,2021-11-22T00:00:00.000,threshold,0.101746171,162.6490027,1065717.439,1065554.79,0.093400208
33,2021-11-30T00:00:00.000,threshold,0.147916177,231.8620019,1045015.301,1044783.439,0.065264549
34,2021-12-01T00:00:00.000,calendar_or_threshold,0.089029407,139.1363427,1041875.538,1041736.402,0.067235177
