strategy,strategy_role,shadow_experimental,production_allocation_active,cagr,volatility,sharpe,sortino,max_drawdown,calmar,pain_index,pain_ratio,var_95,cvar_95,final_value,max_drawdown_duration,recovery_duration,total_turnover,average_turnover,total_transaction_cost,transaction_cost_drag,number_of_rebalances,evaluation_start,evaluation_end,n_observations,data_source,hmm_status,transaction_costs_included
Fixed HERC,strategic growth core,False,,0.007079468494186614,0.14482339614198278,-0.018120555600154267,0.12161516249484317,-0.07838518802077477,0.09031640636379301,0.03277136024855752,-0.3942628993064791,-0.013640285422387877,-0.019915906501089837,1001568.902042024,43,,0.5387505503867847,0.1795835167955949,1185.5705706382137,0.0011855705706382137,3,2026-04-01,2026-06-19,56,yahoo_finance,hmm_walk_forward,True
HMM Conservative,risk-control overlay baseline,False,,-0.012465160887609517,0.041274382268578415,-0.7681335974183736,-0.25372563870100606,-0.022321880109686942,-0.5584279113747259,0.01515945995847984,-2.1415776667855035,-0.003318886616734541,-0.0076686928424490874,997216.4362699286,51,,1.0441713432949535,0.2088342686589907,2000.9852145567613,0.0020009852145567615,5,2026-04-01,2026-06-19,56,yahoo_finance,hmm_walk_forward,True
Rule Conservative,robustness/fallback reference,False,,0.07700473832396604,0.03456895807667725,1.584683047434626,2.83964877862326,-0.010485884278515045,7.34365708018962,0.003203375481075319,17.795209665783702,-0.002853914550491804,-0.0036779871160510145,1016621.9205235025,39,3.0,1.4949630723923149,0.16610700804359055,2712.480733569283,0.002712480733569283,9,2026-04-01,2026-06-19,56,yahoo_finance,hmm_walk_forward,True
HMM + NLP Confirmation Overlay,shadow/experimental NLP confirmation,True,False,0.11420646263781342,0.10209275813233923,0.9136930269495764,1.2618917974015973,-0.04499042773077966,2.5384613660758877,0.01656083527288706,5.688509129249394,-0.010138627230684786,-0.012715089250120251,1024322.7448944614,42,,0.42976858028728715,0.21488429014364357,871.7399626028347,0.0008717399626028346,2,2026-04-01,2026-06-19,56,yahoo_finance,hmm_walk_forward,True
HMM + NLP Early-Warning Overlay,shadow/experimental NLP early warning,True,False,-0.012465160887610072,0.04127438226857858,-0.7681335974183949,-0.25372563870102677,-0.022321880109686942,-0.5584279113747508,0.015159459958479784,-2.141577666785548,-0.0033188866167346244,-0.0076686928424490874,997216.4362699285,51,,1.0441713432949535,0.2088342686589907,2023.1185535328832,0.002023118553532883,5,2026-04-01,2026-06-19,56,yahoo_finance,hmm_walk_forward,True
