decision_date,nlp_signal_date_used,source_mix,nlp_label,regime_label,allocation_before_overlay,allocation_after_overlay,overlay_action,overlay_variant,nlp_risk_off_eligible,nlp_risk_off_persistent,market_confirmation,lookahead_check_passed
2026-06-02,2026-06-01,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-03,2026-06-02,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-04,2026-06-03,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-05,2026-06-04,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-08,2026-06-05,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-09,2026-06-08,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-10,2026-06-09,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-11,2026-06-10,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-12,2026-06-11,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-15,2026-06-12,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-16,2026-06-15,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-17,2026-06-16,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-18,2026-06-17,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-06-19,2026-06-18,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-01,,none,insufficient_nlp_data,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-02,2026-04-01,none,insufficient_nlp_data,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-06,2026-04-03,none,insufficient_nlp_data,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-07,2026-04-06,news_only,nlp_neutral,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-08,2026-04-07,news_only,nlp_risk_on,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-09,2026-04-08,news_only,nlp_risk_on,Normal,core,core,no_overlay,early_warning,False,False,True,True
2026-04-10,2026-04-09,news_only,nlp_risk_on,Normal,core,core,no_overlay,early_warning,False,False,True,True
2026-04-13,2026-04-10,news_only,nlp_risk_on,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-15,2026-04-14,news_only,nlp_risk_on,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
2026-04-16,2026-04-15,news_only,nlp_risk_on,Crisis,defensive,defensive,hmm_defensive_preserved,early_warning,False,False,True,True
