strategy,regime_source,policy_preset,selected_objective,selected_objective_win_rate,win_rate_by_calmar,win_rate_by_max_drawdown,win_rate_by_final_value,average_calmar,median_calmar,worst_case_calmar,average_max_drawdown,worst_max_drawdown,average_cagr,average_final_value,average_turnover,average_transaction_cost,stress_protection_win_rate,cost_sensitivity_slope,average_final_value_ratio_vs_best_fixed,number_of_successful_runs,number_of_failed_runs,classification
Regime-Adaptive HMM Walk-Forward — Balanced,hmm_walk_forward,balanced,calmar,0.9,0.9,0.9,0.1,1.0776505034486332,1.252979727431426,0.5260190669541406,-0.11969773032097927,-0.2163572850246009,0.11752508409575155,2016046.7748641348,9.860689607476882,41406.368829525534,1.0,-0.003859150432305916,0.8985087684358527,10,0,Risk-control overlay
Regime-Adaptive HMM Walk-Forward — Conservative,hmm_walk_forward,conservative,calmar,0.9,0.9,1.0,0.0,1.181430589190681,1.3531680096322911,0.5742759102129378,-0.0976930096756818,-0.1740868575478378,0.10557626481849625,1893662.9220193375,8.26770496296734,33500.987534906126,1.0,-0.004387168401086949,0.8422895442095932,10,0,Risk-control overlay
Regime-Adaptive Rule-Based — Balanced,rule_based_lagged,balanced,calmar,0.9,0.9,0.9,0.1,0.8176723139792819,0.9028007351561815,0.4842650036683565,-0.1311430855873726,-0.2080829635814886,0.1025650810840685,1852886.261896593,23.29991660862577,80066.71514979342,1.0,-0.003992162965981387,0.8280885153664366,10,0,Risk-control overlay
Regime-Adaptive Rule-Based — Conservative,rule_based_lagged,conservative,calmar,0.9,0.9,1.0,0.1,0.9244391526154047,0.9861678624730896,0.5985739329851009,-0.10599169374076692,-0.151562025419928,0.09550203867620119,1779082.1793694876,20.10349056014991,66738.63249219858,1.0,-0.004365401198433288,0.7953988216913952,10,0,Risk-control overlay
